trade_time,buy_coin,amount,dollar_user_value,price,live,twitter_id,twitter_screen_name,twitter_status_text,tweet_type,dollar_buy_value,bot_name,type,trade_timestamp,buy_timestamp,hold_coin,dollar_fee,hold_pnl,dollar_pnl,percent_pnl,status_id,exchange,platform
2021-10-26 09:53:59,FTM,15,50,3.4363,0,944686196331966464,HsakaTrades,"L1 2.0™ szn https://t.co/B09chLWlaE

@HsakaTrades: SOL --&gt; LUNA --&gt; AVAX SoLunAvax",,,,,,,,,,,,,,
FTM --&gt; ONE --&gt; NEAR --&gt; SCRT,,,,,,,,,,,,,,,,,,,,,,
FantOnEaRet,,,,,,,,,,,,,,,,,,,,,,
Intra basket rotations,,,,,,,,,,,,,,,,,,,,,,
Inter basket rotation,,,,,,,,,,,,,,,,,,,,,,
L1 1.0,,,,,,,,,,,,,,,,,,,,,,
L1 2.0,,,,,,,,,,,,,,,,,,,,,,
Haiku,,,,,,,,,,,,,,,,,,,,,,
2021-09-15 11:49:19,UNI,39.75,1000,25.1708,1,,,,,1000.51,lazy_trade_beta_bot,sell,1631706559848753,1631672264116266,USDT,0.750565,-1.49171,-1.49171,-0.148974,0.0,binance,
2021-09-15 11:49:15,LUNA,28.45,1000,36.42,1,,,,,1000.3,lazy_trade_beta_bot,sell,1631706555420152,1631672717162678,USDT,0.777285,34.2977,34.2977,3.4258599999999997,0.0,binance,
2021-09-15 11:49:10,BTC,0.02157,1000,47460.3,1,,,,,999.983,lazy_trade_beta_bot,sell,1631706550717346,1631630630806244,USDT,0.767604,22.1807,22.1807,2.04108,1.4377889338537452e+18,binance,
2021-09-15 11:49:04,ADA,419.8,1000,2.391,1,,,,,999.964,lazy_trade_beta_bot,sell,1631706544480270,1631670341083733,USDT,0.7528,2.2532200000000002,2.2532200000000002,0.225156,1.4379518030442045e+18,binance,
2021-09-15 11:46:56,LINK,32.18,1000,31.074,1,,,,,999.963,lazy_trade_beta_bot,buy,1631706416884377,,USDT,0.360068,,,,0.0,binance_f,
2021-09-15 11:46:48,DOT,27.1,1000,36.291,1,,,,,1001.29,lazy_trade_beta_bot,sell,1631706408131648,1631611739765376,USDT,0.354102,-18.5368,-18.5368,-1.85053,1.4377098859956388e+18,binance_f,
2021-09-15 11:46:29,BTC,0.022,1000,47395.9,1,,,,,1020.31,lazy_trade_beta_bot,sell,1631706389414397,1631630617429212,USDT,0.375439,21.6408,21.6408,2.0363700000000002,0.0,binance_f,
2021-09-15 11:46:20,IOST,13059,1000,0.0770935,1,,,,,1001.31,lazy_trade_beta_bot,sell,1631706380184955,1631665032044716,USDT,0.362554,4.7165,4.7165,0.47085600000000005,1.4379333763092767e+18,binance_f,
2021-09-15 11:34:14,XLM,2995,1000,0.3339,1,,,,,1000.03,lazy_trade_beta_bot,buy,1631705654708501,,USDT,0.749435,,,,0.0,binance,
2021-09-15 11:33:59,DOT,28.06,1000,36.3,1,,,,,1001.18,lazy_trade_beta_bot,sell,1631705639409149,1631553748699088,USDT,0.763568,15.8283,15.8283,1.57959,0.0,binance,
2021-09-15 11:31:33,XRP,917,1000,1.0909,1,,,,,1000.36,lazy_trade_beta_bot,buy,1631705493687209,,USDT,0.750121,,,,0.0,binance,
2021-09-15 11:30:45,KSM,2.429,1000,411.462,1,,,,,999.44,lazy_trade_beta_bot,buy,1631705445881959,,USDT,0.748414,,,,0.0,binance,
2021-09-15 11:27:41,ETH,0.2993,1000,3411.09,1,,,,,1000.92,lazy_trade_beta_bot,sell,1631705261643696,1631609103954366,USDT,0.765692,18.4636,18.4636,1.83195,1.437698442646618e+18,binance,
2021-09-15 11:27:05,BTC,0.04533,2000,47487.8,1,,,,,1999.27,lazy_trade_beta_bot,sell,1631705225286358,1631544512231444,USDT,1.61484,150.114,150.114,6.88097,,binance,
2021-09-15 08:24:31,FTT,14.32,1000,69.76,1,,,,,998.963,lazy_trade_beta_bot,buy,1631694271657194,,USDT,0.752909,,,,0.0,binance,
2021-09-15 02:25:17,LUNA,28.45,1000,35.16,1,,,,,1000.3,lazy_trade_beta_bot,buy,1631672717162678,,USDT,0.750137,,,,0.0,binance,
